"time
References : ['vcap512']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","vcap512
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
17.42 psec,-9.076 mV
17.52 psec,-9.115 mV
17.62 psec,-9.154 mV
17.72 psec,-9.193 mV
17.82 psec,-9.232 mV
17.92 psec,-9.271 mV
18.02 psec,-9.310 mV
18.12 psec,-9.349 mV
18.22 psec,-9.387 mV
18.32 psec,-9.426 mV
18.42 psec,-9.465 mV
18.52 psec,-9.503 mV
18.62 psec,-9.542 mV
18.72 psec,-9.581 mV
18.82 psec,-9.619 mV
18.92 psec,-9.658 mV
19.02 psec,-9.696 mV
19.12 psec,-9.735 mV
19.22 psec,-9.774 mV
19.32 psec,-9.813 mV
19.42 psec,-9.851 mV
19.52 psec,-9.890 mV
19.62 psec,-9.929 mV
19.72 psec,-9.968 mV
19.82 psec,-10.01 mV
19.92 psec,-10.05 mV
20.02 psec,-10.09 mV
20.12 psec,-10.12 mV
20.22 psec,-10.16 mV
20.32 psec,-10.20 mV
20.42 psec,-10.24 mV
20.52 psec,-10.28 mV
20.62 psec,-10.32 mV
20.72 psec,-10.36 mV
20.82 psec,-10.40 mV
20.92 psec,-10.44 mV
21.02 psec,-10.48 mV
21.12 psec,-10.52 mV
21.22 psec,-10.55 mV
21.32 psec,-10.59 mV
21.42 psec,-10.63 mV
21.52 psec,-10.67 mV
21.62 psec,-10.71 mV
21.72 psec,-10.75 mV
21.82 psec,-10.79 mV
21.92 psec,-10.83 mV
22.02 psec,-10.86 mV
22.12 psec,-10.90 mV
22.22 psec,-10.94 mV
22.32 psec,-10.98 mV
22.42 psec,-11.02 mV
22.52 psec,-11.06 mV
22.62 psec,-11.10 mV
22.72 psec,-11.14 mV
22.82 psec,-11.17 mV
22.92 psec,-11.21 mV
23.02 psec,-11.25 mV
23.12 psec,-11.29 mV
23.22 psec,-11.33 mV
23.32 psec,-11.37 mV
23.42 psec,-11.41 mV
23.52 psec,-11.45 mV
23.62 psec,-11.49 mV
23.72 psec,-11.53 mV
23.82 psec,-11.57 mV
23.92 psec,-11.60 mV
24.02 psec,-11.64 mV
24.12 psec,-11.68 mV
24.22 psec,-11.72 mV
24.32 psec,-11.76 mV
24.42 psec,-11.80 mV
24.52 psec,-11.84 mV
24.62 psec,-11.88 mV
24.72 psec,-11.92 mV
24.82 psec,-11.95 mV
24.92 psec,-11.99 mV
25.02 psec,-12.03 mV
25.12 psec,-12.07 mV
25.22 psec,-12.11 mV
