"time
References : ['TL_in']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","TL_in
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
21.52 psec,200.5 mV
21.62 psec,200.4 mV
21.72 psec,200.3 mV
21.82 psec,200.1 mV
21.92 psec,200.0 mV
22.02 psec,199.9 mV
22.12 psec,199.8 mV
22.22 psec,199.6 mV
22.32 psec,199.5 mV
22.42 psec,199.5 mV
22.52 psec,199.4 mV
22.62 psec,199.4 mV
22.72 psec,199.4 mV
22.82 psec,199.4 mV
22.92 psec,199.4 mV
23.02 psec,199.5 mV
23.12 psec,199.6 mV
23.22 psec,199.7 mV
23.32 psec,199.8 mV
23.42 psec,199.9 mV
23.52 psec,200.0 mV
23.62 psec,200.1 mV
23.72 psec,200.2 mV
23.82 psec,200.3 mV
23.92 psec,200.4 mV
24.02 psec,200.5 mV
24.12 psec,200.5 mV
24.22 psec,200.6 mV
24.32 psec,200.6 mV
24.42 psec,200.5 mV
24.52 psec,200.5 mV
24.62 psec,200.4 mV
24.72 psec,200.4 mV
24.82 psec,200.3 mV
24.92 psec,200.2 mV
25.02 psec,200.1 mV
25.12 psec,200.0 mV
25.22 psec,199.9 mV
25.32 psec,199.8 mV
25.42 psec,199.7 mV
25.52 psec,199.6 mV
25.62 psec,199.5 mV
25.72 psec,199.5 mV
25.82 psec,199.5 mV
25.92 psec,199.5 mV
26.02 psec,199.5 mV
26.12 psec,199.6 mV
26.22 psec,199.6 mV
26.32 psec,199.7 mV
26.42 psec,199.8 mV
26.52 psec,199.9 mV
26.62 psec,200.0 mV
26.72 psec,200.1 mV
26.82 psec,200.2 mV
26.92 psec,200.2 mV
27.02 psec,200.3 mV
27.12 psec,200.4 mV
27.22 psec,200.4 mV
27.32 psec,200.5 mV
27.42 psec,200.5 mV
27.52 psec,200.5 mV
27.62 psec,200.4 mV
27.72 psec,200.4 mV
27.82 psec,200.3 mV
27.92 psec,200.3 mV
28.02 psec,200.2 mV
28.12 psec,200.1 mV
28.22 psec,200.0 mV
28.32 psec,199.9 mV
28.42 psec,199.8 mV
28.52 psec,199.8 mV
28.62 psec,199.7 mV
28.72 psec,199.6 mV
28.82 psec,199.6 mV
28.92 psec,199.6 mV
29.02 psec,199.6 mV
29.12 psec,199.6 mV
29.22 psec,199.6 mV
29.32 psec,199.6 mV
29.42 psec,199.7 mV
29.52 psec,199.8 mV
29.62 psec,199.8 mV
29.72 psec,199.9 mV
29.82 psec,200.0 mV
29.92 psec,200.1 mV
30.02 psec,200.2 mV
30.12 psec,200.2 mV
30.22 psec,200.3 mV
30.32 psec,200.3 mV
30.42 psec,200.4 mV
30.52 psec,200.4 mV
30.62 psec,200.4 mV
30.72 psec,200.4 mV
30.82 psec,200.4 mV
30.92 psec,200.3 mV
31.02 psec,200.3 mV
31.12 psec,200.2 mV
31.22 psec,200.1 mV
31.32 psec,200.0 mV
31.42 psec,200.0 mV
31.52 psec,199.9 mV
31.62 psec,199.8 mV
31.72 psec,199.8 mV
31.82 psec,199.7 mV
31.92 psec,199.7 mV
32.02 psec,199.6 mV
32.12 psec,199.6 mV
32.22 psec,199.6 mV
32.32 psec,199.6 mV
32.42 psec,199.7 mV
32.52 psec,199.7 mV
32.62 psec,199.8 mV
32.72 psec,199.8 mV
32.82 psec,199.9 mV
32.92 psec,200.0 mV
33.02 psec,200.0 mV
33.12 psec,200.1 mV
33.22 psec,200.2 mV
33.32 psec,200.2 mV
33.42 psec,200.3 mV
33.52 psec,200.3 mV
33.62 psec,200.3 mV
33.72 psec,200.3 mV
33.82 psec,200.3 mV
33.92 psec,200.3 mV
34.02 psec,200.3 mV
34.12 psec,200.2 mV
34.22 psec,200.2 mV
34.32 psec,200.1 mV
34.42 psec,200.1 mV
34.52 psec,200.0 mV
34.62 psec,199.9 mV
34.72 psec,199.9 mV
34.82 psec,199.8 mV
34.92 psec,199.8 mV
35.02 psec,199.7 mV
35.12 psec,199.7 mV
35.22 psec,199.7 mV
35.32 psec,199.7 mV
35.42 psec,199.7 mV
35.52 psec,199.7 mV
35.62 psec,199.7 mV
35.72 psec,199.8 mV
35.82 psec,199.8 mV
35.92 psec,199.9 mV
36.02 psec,199.9 mV
36.12 psec,200.0 mV
36.22 psec,200.1 mV
36.32 psec,200.1 mV
36.42 psec,200.2 mV
36.52 psec,200.2 mV
36.62 psec,200.3 mV
36.72 psec,200.3 mV
36.82 psec,200.3 mV
36.92 psec,200.3 mV
37.02 psec,200.3 mV
37.12 psec,200.3 mV
37.22 psec,200.2 mV
37.32 psec,200.2 mV
37.42 psec,200.1 mV
37.52 psec,200.1 mV
37.62 psec,200.0 mV
37.72 psec,200.0 mV
37.82 psec,199.9 mV
37.92 psec,199.9 mV
38.02 psec,199.8 mV
38.12 psec,199.8 mV
38.22 psec,199.7 mV
38.32 psec,199.7 mV
38.42 psec,199.7 mV
38.52 psec,199.7 mV
38.62 psec,199.7 mV
38.72 psec,199.8 mV
38.82 psec,199.8 mV
38.92 psec,199.8 mV
39.02 psec,199.9 mV
39.12 psec,199.9 mV
39.22 psec,200.0 mV
39.32 psec,200.0 mV
39.42 psec,200.1 mV
39.52 psec,200.1 mV
39.62 psec,200.2 mV
39.72 psec,200.2 mV
39.82 psec,200.2 mV
39.92 psec,200.3 mV
40.02 psec,200.3 mV
40.12 psec,200.3 mV
40.22 psec,200.3 mV
40.32 psec,200.2 mV
40.42 psec,200.2 mV
40.52 psec,200.2 mV
40.62 psec,200.1 mV
40.72 psec,200.1 mV
40.82 psec,200.0 mV
40.92 psec,200.0 mV
41.02 psec,199.9 mV
41.12 psec,199.9 mV
41.22 psec,199.8 mV
41.32 psec,199.8 mV
41.42 psec,199.8 mV
41.52 psec,199.8 mV
41.62 psec,199.7 mV
41.72 psec,199.8 mV
41.82 psec,199.8 mV
41.92 psec,199.8 mV
42.02 psec,199.8 mV
42.12 psec,199.9 mV
42.22 psec,199.9 mV
42.32 psec,200.0 mV
42.42 psec,200.0 mV
42.52 psec,200.1 mV
42.62 psec,200.1 mV
42.72 psec,200.1 mV
42.82 psec,200.2 mV
42.92 psec,200.2 mV
43.02 psec,200.2 mV
43.12 psec,200.2 mV
43.22 psec,200.2 mV
43.32 psec,200.2 mV
43.42 psec,200.2 mV
43.52 psec,200.2 mV
43.62 psec,200.2 mV
43.72 psec,200.1 mV
43.82 psec,200.1 mV
43.92 psec,200.0 mV
44.02 psec,200.0 mV
44.12 psec,199.9 mV
44.22 psec,199.9 mV
44.32 psec,199.9 mV
44.42 psec,199.8 mV
44.52 psec,199.8 mV
44.62 psec,199.8 mV
44.72 psec,199.8 mV
44.82 psec,199.8 mV
44.92 psec,199.8 mV
45.02 psec,199.8 mV
45.12 psec,199.8 mV
45.22 psec,199.9 mV
45.32 psec,199.9 mV
45.42 psec,199.9 mV
45.52 psec,200.0 mV
45.62 psec,200.0 mV
45.72 psec,200.1 mV
45.82 psec,200.1 mV
45.92 psec,200.1 mV
46.02 psec,200.2 mV
46.12 psec,200.2 mV
46.22 psec,200.2 mV
46.32 psec,200.2 mV
46.42 psec,200.2 mV
46.52 psec,200.2 mV
46.62 psec,200.2 mV
46.72 psec,200.2 mV
46.82 psec,200.1 mV
46.92 psec,200.1 mV
47.02 psec,200.0 mV
47.12 psec,200.0 mV
47.22 psec,200.0 mV
47.32 psec,199.9 mV
47.42 psec,199.9 mV
47.52 psec,199.9 mV
47.62 psec,199.8 mV
47.72 psec,199.8 mV
47.82 psec,199.8 mV
47.92 psec,199.8 mV
48.02 psec,199.8 mV
48.12 psec,199.8 mV
48.22 psec,199.8 mV
48.32 psec,199.9 mV
48.42 psec,199.9 mV
48.52 psec,199.9 mV
48.62 psec,200.0 mV
48.72 psec,200.0 mV
48.82 psec,200.0 mV
48.92 psec,200.1 mV
49.02 psec,200.1 mV
49.12 psec,200.1 mV
49.22 psec,200.2 mV
49.32 psec,200.2 mV
49.42 psec,200.2 mV
49.52 psec,200.2 mV
49.62 psec,200.2 mV
49.72 psec,200.2 mV
49.82 psec,200.2 mV
49.92 psec,200.1 mV
50.02 psec,200.1 mV
50.12 psec,200.1 mV
50.22 psec,200.0 mV
50.32 psec,200.0 mV
50.42 psec,200.0 mV
50.52 psec,199.9 mV
50.62 psec,199.9 mV
50.72 psec,199.9 mV
50.82 psec,199.8 mV
50.92 psec,199.8 mV
51.02 psec,199.8 mV
51.12 psec,199.8 mV
51.22 psec,199.8 mV
51.32 psec,199.8 mV
51.42 psec,199.9 mV
51.52 psec,199.9 mV
51.62 psec,199.9 mV
51.72 psec,199.9 mV
51.82 psec,200.0 mV
51.92 psec,200.0 mV
52.02 psec,200.1 mV
52.12 psec,200.1 mV
52.22 psec,200.1 mV
52.32 psec,200.1 mV
52.42 psec,200.2 mV
52.52 psec,200.2 mV
52.62 psec,200.2 mV
52.72 psec,200.2 mV
52.82 psec,200.2 mV
52.92 psec,200.2 mV
53.02 psec,200.1 mV
53.12 psec,200.1 mV
53.22 psec,200.1 mV
53.32 psec,200.0 mV
53.42 psec,200.0 mV
53.52 psec,200.0 mV
53.62 psec,199.9 mV
53.72 psec,199.9 mV
53.82 psec,199.9 mV
53.92 psec,199.9 mV
54.02 psec,199.8 mV
54.12 psec,199.8 mV
54.22 psec,199.8 mV
54.32 psec,199.8 mV
54.42 psec,199.8 mV
54.52 psec,199.9 mV
54.62 psec,199.9 mV
54.72 psec,199.9 mV
54.82 psec,199.9 mV
54.92 psec,200.0 mV
55.02 psec,200.0 mV
55.12 psec,200.0 mV
55.22 psec,200.1 mV
55.32 psec,200.1 mV
55.42 psec,200.1 mV
55.52 psec,200.1 mV
55.62 psec,200.2 mV
55.72 psec,200.2 mV
55.82 psec,200.2 mV
55.92 psec,200.2 mV
56.02 psec,200.1 mV
56.12 psec,200.1 mV
56.22 psec,200.1 mV
56.32 psec,200.1 mV
56.42 psec,200.1 mV
56.52 psec,200.0 mV
56.62 psec,200.0 mV
56.72 psec,200.0 mV
56.82 psec,199.9 mV
56.92 psec,199.9 mV
57.02 psec,199.9 mV
57.12 psec,199.9 mV
57.22 psec,199.9 mV
57.32 psec,199.8 mV
57.42 psec,199.8 mV
57.52 psec,199.9 mV
57.62 psec,199.9 mV
57.72 psec,199.9 mV
57.82 psec,199.9 mV
57.92 psec,199.9 mV
58.02 psec,200.0 mV
58.12 psec,200.0 mV
58.22 psec,200.0 mV
58.32 psec,200.0 mV
58.42 psec,200.1 mV
58.52 psec,200.1 mV
58.62 psec,200.1 mV
58.72 psec,200.1 mV
58.82 psec,200.1 mV
58.92 psec,200.1 mV
59.02 psec,200.1 mV
59.12 psec,200.1 mV
59.22 psec,200.1 mV
59.32 psec,200.1 mV
59.42 psec,200.1 mV
59.52 psec,200.1 mV
59.62 psec,200.0 mV
59.72 psec,200.0 mV
59.82 psec,200.0 mV
59.92 psec,199.9 mV
60.02 psec,199.9 mV
60.12 psec,199.9 mV
60.22 psec,199.9 mV
60.32 psec,199.9 mV
60.42 psec,199.9 mV
60.52 psec,199.9 mV
60.62 psec,199.9 mV
60.72 psec,199.9 mV
60.82 psec,199.9 mV
60.92 psec,199.9 mV
61.02 psec,199.9 mV
61.12 psec,199.9 mV
61.22 psec,200.0 mV
61.32 psec,200.0 mV
61.42 psec,200.0 mV
61.52 psec,200.1 mV
61.62 psec,200.1 mV
61.72 psec,200.1 mV
61.82 psec,200.1 mV
61.92 psec,200.1 mV
62.02 psec,200.1 mV
62.12 psec,200.1 mV
62.22 psec,200.1 mV
62.32 psec,200.1 mV
62.42 psec,200.1 mV
62.52 psec,200.1 mV
62.62 psec,200.1 mV
62.72 psec,200.0 mV
62.82 psec,200.0 mV
62.92 psec,200.0 mV
63.02 psec,200.0 mV
63.12 psec,199.9 mV
63.22 psec,199.9 mV
63.32 psec,199.9 mV
63.42 psec,199.9 mV
63.52 psec,199.9 mV
63.62 psec,199.9 mV
63.72 psec,199.9 mV
63.82 psec,199.9 mV
63.92 psec,199.9 mV
64.02 psec,199.9 mV
64.12 psec,199.9 mV
64.22 psec,199.9 mV
64.32 psec,200.0 mV
64.42 psec,200.0 mV
64.52 psec,200.0 mV
64.62 psec,200.0 mV
64.72 psec,200.1 mV
64.82 psec,200.1 mV
64.92 psec,200.1 mV
65.02 psec,200.1 mV
65.12 psec,200.1 mV
65.22 psec,200.1 mV
65.32 psec,200.1 mV
65.42 psec,200.1 mV
65.52 psec,200.1 mV
65.62 psec,200.1 mV
65.72 psec,200.1 mV
65.82 psec,200.1 mV
65.92 psec,200.0 mV
66.02 psec,200.0 mV
66.12 psec,200.0 mV
66.22 psec,200.0 mV
66.32 psec,199.9 mV
66.42 psec,199.9 mV
66.52 psec,199.9 mV
66.62 psec,199.9 mV
66.72 psec,199.9 mV
66.82 psec,199.9 mV
66.92 psec,199.9 mV
67.02 psec,199.9 mV
67.12 psec,199.9 mV
67.22 psec,199.9 mV
67.32 psec,199.9 mV
67.42 psec,200.0 mV
67.52 psec,200.0 mV
67.62 psec,200.0 mV
67.72 psec,200.0 mV
67.82 psec,200.0 mV
67.92 psec,200.1 mV
68.02 psec,200.1 mV
68.12 psec,200.1 mV
68.22 psec,200.1 mV
68.32 psec,200.1 mV
68.42 psec,200.1 mV
68.52 psec,200.1 mV
68.62 psec,200.1 mV
68.72 psec,200.1 mV
68.82 psec,200.1 mV
68.92 psec,200.1 mV
69.02 psec,200.0 mV
69.12 psec,200.0 mV
69.22 psec,200.0 mV
69.32 psec,200.0 mV
69.42 psec,200.0 mV
69.52 psec,199.9 mV
69.62 psec,199.9 mV
69.72 psec,199.9 mV
69.82 psec,199.9 mV
69.92 psec,199.9 mV
70.02 psec,199.9 mV
70.12 psec,199.9 mV
70.22 psec,199.9 mV
70.32 psec,199.9 mV
70.42 psec,199.9 mV
70.52 psec,199.9 mV
70.62 psec,200.0 mV
70.72 psec,200.0 mV
70.82 psec,200.0 mV
70.92 psec,200.0 mV
71.02 psec,200.1 mV
71.12 psec,200.1 mV
71.22 psec,200.1 mV
71.32 psec,200.1 mV
71.42 psec,200.1 mV
71.52 psec,200.1 mV
71.62 psec,200.1 mV
71.72 psec,200.1 mV
71.82 psec,200.1 mV
71.92 psec,200.1 mV
72.02 psec,200.1 mV
72.12 psec,200.0 mV
72.22 psec,200.0 mV
72.32 psec,200.0 mV
