"time
References : ['vcap512']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","vcap512
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
21.52 psec,0.0000 V
21.62 psec,0.0000 V
21.72 psec,0.0000 V
21.82 psec,0.0000 V
21.92 psec,0.0000 V
22.02 psec,0.0000 V
22.12 psec,0.0000 V
22.22 psec,0.0000 V
22.32 psec,0.0000 V
22.42 psec,0.0000 V
22.52 psec,0.0000 V
22.62 psec,0.0000 V
22.72 psec,0.0000 V
22.82 psec,0.0000 V
22.92 psec,0.0000 V
23.02 psec,0.0000 V
23.12 psec,0.0000 V
23.22 psec,0.0000 V
23.32 psec,0.0000 V
23.42 psec,0.0000 V
23.52 psec,0.0000 V
23.62 psec,0.0000 V
23.72 psec,0.0000 V
23.82 psec,0.0000 V
23.92 psec,0.0000 V
24.02 psec,0.0000 V
24.12 psec,0.0000 V
24.22 psec,0.0000 V
24.32 psec,0.0000 V
24.42 psec,0.0000 V
24.52 psec,0.0000 V
24.62 psec,0.0000 V
24.72 psec,0.0000 V
24.82 psec,0.0000 V
24.92 psec,0.0000 V
25.02 psec,0.0000 V
25.12 psec,0.0000 V
25.22 psec,0.0000 V
25.32 psec,0.0000 V
25.42 psec,0.0000 V
25.52 psec,0.0000 V
25.62 psec,0.0000 V
25.72 psec,0.0000 V
25.82 psec,0.0000 V
25.92 psec,0.0000 V
26.02 psec,0.0000 V
26.12 psec,0.0000 V
26.22 psec,0.0000 V
26.32 psec,0.0000 V
26.42 psec,0.0000 V
26.52 psec,0.0000 V
26.62 psec,0.0000 V
26.72 psec,0.0000 V
26.82 psec,0.0000 V
26.92 psec,0.0000 V
27.02 psec,0.0000 V
27.12 psec,0.0000 V
27.22 psec,0.0000 V
27.32 psec,0.0000 V
27.42 psec,0.0000 V
27.52 psec,0.0000 V
27.62 psec,0.0000 V
27.72 psec,0.0000 V
27.82 psec,0.0000 V
27.92 psec,0.0000 V
28.02 psec,0.0000 V
28.12 psec,0.0000 V
28.22 psec,0.0000 V
28.32 psec,0.0000 V
28.42 psec,0.0000 V
28.52 psec,0.0000 V
28.62 psec,0.0000 V
28.72 psec,0.0000 V
28.82 psec,0.0000 V
28.92 psec,0.0000 V
29.02 psec,0.0000 V
29.12 psec,0.0000 V
29.22 psec,0.0000 V
29.32 psec,0.0000 V
29.42 psec,0.0000 V
29.52 psec,0.0000 V
29.62 psec,0.0000 V
29.72 psec,0.0000 V
29.82 psec,0.0000 V
29.92 psec,0.0000 V
30.02 psec,0.0000 V
30.12 psec,0.0000 V
30.22 psec,0.0000 V
30.32 psec,0.0000 V
30.42 psec,0.0000 V
30.52 psec,0.0000 V
30.62 psec,0.0000 V
30.72 psec,0.0000 V
30.82 psec,0.0000 V
30.92 psec,0.0000 V
31.02 psec,0.0000 V
31.12 psec,0.0000 V
31.22 psec,0.0000 V
31.32 psec,0.0000 V
31.42 psec,0.0000 V
31.52 psec,0.0000 V
31.62 psec,0.0000 V
31.72 psec,0.0000 V
31.82 psec,0.0000 V
31.92 psec,0.0000 V
32.02 psec,0.0000 V
32.12 psec,0.0000 V
32.22 psec,0.0000 V
32.32 psec,0.0000 V
32.42 psec,0.0000 V
32.52 psec,0.0000 V
32.62 psec,0.0000 V
32.72 psec,0.0000 V
32.82 psec,0.0000 V
32.92 psec,0.0000 V
33.02 psec,0.0000 V
33.12 psec,0.0000 V
33.22 psec,0.0000 V
33.32 psec,0.0000 V
33.42 psec,0.0000 V
33.52 psec,0.0000 V
33.62 psec,0.0000 V
33.72 psec,0.0000 V
33.82 psec,0.0000 V
33.92 psec,0.0000 V
34.02 psec,0.0000 V
34.12 psec,0.0000 V
34.22 psec,0.0000 V
34.32 psec,0.0000 V
34.42 psec,0.0000 V
34.52 psec,0.0000 V
34.62 psec,0.0000 V
34.72 psec,0.0000 V
34.82 psec,0.0000 V
34.92 psec,0.0000 V
35.02 psec,0.0000 V
35.12 psec,0.0000 V
35.22 psec,0.0000 V
35.32 psec,0.0000 V
35.42 psec,0.0000 V
35.52 psec,0.0000 V
35.62 psec,0.0000 V
35.72 psec,0.0000 V
35.82 psec,0.0000 V
35.92 psec,0.0000 V
36.02 psec,0.0000 V
36.12 psec,0.0000 V
36.22 psec,0.0000 V
36.32 psec,0.0000 V
36.42 psec,0.0000 V
36.52 psec,0.0000 V
36.62 psec,0.0000 V
36.72 psec,0.0000 V
36.82 psec,0.0000 V
36.92 psec,0.0000 V
37.02 psec,0.0000 V
37.12 psec,0.0000 V
37.22 psec,0.0000 V
37.32 psec,0.0000 V
37.42 psec,0.0000 V
37.52 psec,0.0000 V
37.62 psec,0.0000 V
37.72 psec,0.0000 V
37.82 psec,0.0000 V
37.92 psec,0.0000 V
38.02 psec,0.0000 V
38.12 psec,0.0000 V
38.22 psec,0.0000 V
38.32 psec,0.0000 V
38.42 psec,0.0000 V
38.52 psec,0.0000 V
38.62 psec,0.0000 V
38.72 psec,0.0000 V
38.82 psec,0.0000 V
38.92 psec,0.0000 V
39.02 psec,0.0000 V
39.12 psec,0.0000 V
39.22 psec,0.0000 V
39.32 psec,0.0000 V
39.42 psec,0.0000 V
39.52 psec,0.0000 V
39.62 psec,0.0000 V
39.72 psec,0.0000 V
39.82 psec,0.0000 V
39.92 psec,0.0000 V
40.02 psec,0.0000 V
40.12 psec,0.0000 V
40.22 psec,0.0000 V
40.32 psec,0.0000 V
40.42 psec,0.0000 V
40.52 psec,0.0000 V
40.62 psec,0.0000 V
40.72 psec,0.0000 V
40.82 psec,0.0000 V
40.92 psec,0.0000 V
41.02 psec,0.0000 V
41.12 psec,0.0000 V
41.22 psec,0.0000 V
41.32 psec,0.0000 V
41.42 psec,0.0000 V
41.52 psec,0.0000 V
41.62 psec,0.0000 V
41.72 psec,0.0000 V
41.82 psec,0.0000 V
41.92 psec,0.0000 V
42.02 psec,0.0000 V
42.12 psec,0.0000 V
42.22 psec,0.0000 V
42.32 psec,0.0000 V
42.42 psec,0.0000 V
42.52 psec,0.0000 V
42.62 psec,0.0000 V
42.72 psec,0.0000 V
42.82 psec,0.0000 V
42.92 psec,0.0000 V
43.02 psec,0.0000 V
43.12 psec,0.0000 V
43.22 psec,0.0000 V
43.32 psec,0.0000 V
43.42 psec,0.0000 V
43.52 psec,0.0000 V
43.62 psec,0.0000 V
43.72 psec,0.0000 V
43.82 psec,0.0000 V
43.92 psec,0.0000 V
44.02 psec,0.0000 V
44.12 psec,0.0000 V
44.22 psec,0.0000 V
44.32 psec,0.0000 V
44.42 psec,0.0000 V
44.52 psec,0.0000 V
44.62 psec,0.0000 V
44.72 psec,0.0000 V
44.82 psec,0.0000 V
44.92 psec,0.0000 V
45.02 psec,0.0000 V
45.12 psec,0.0000 V
45.22 psec,0.0000 V
45.32 psec,0.0000 V
45.42 psec,0.0000 V
45.52 psec,0.0000 V
45.62 psec,0.0000 V
45.72 psec,0.0000 V
45.82 psec,0.0000 V
45.92 psec,0.0000 V
46.02 psec,0.0000 V
46.12 psec,0.0000 V
46.22 psec,0.0000 V
46.32 psec,0.0000 V
46.42 psec,0.0000 V
46.52 psec,0.0000 V
46.62 psec,0.0000 V
46.72 psec,0.0000 V
46.82 psec,0.0000 V
46.92 psec,0.0000 V
47.02 psec,0.0000 V
47.12 psec,0.0000 V
47.22 psec,0.0000 V
47.32 psec,0.0000 V
47.42 psec,0.0000 V
47.52 psec,0.0000 V
47.62 psec,0.0000 V
47.72 psec,0.0000 V
47.82 psec,0.0000 V
47.92 psec,0.0000 V
48.02 psec,0.0000 V
48.12 psec,0.0000 V
48.22 psec,0.0000 V
48.32 psec,0.0000 V
48.42 psec,0.0000 V
48.52 psec,0.0000 V
48.62 psec,0.0000 V
48.72 psec,0.0000 V
48.82 psec,0.0000 V
48.92 psec,0.0000 V
49.02 psec,0.0000 V
49.12 psec,0.0000 V
49.22 psec,0.0000 V
49.32 psec,0.0000 V
49.42 psec,0.0000 V
49.52 psec,0.0000 V
49.62 psec,0.0000 V
49.72 psec,0.0000 V
49.82 psec,0.0000 V
49.92 psec,0.0000 V
50.02 psec,0.0000 V
50.12 psec,0.0000 V
50.22 psec,0.0000 V
50.32 psec,0.0000 V
50.42 psec,0.0000 V
50.52 psec,0.0000 V
50.62 psec,0.0000 V
50.72 psec,0.0000 V
50.82 psec,0.0000 V
50.92 psec,0.0000 V
51.02 psec,0.0000 V
51.12 psec,0.0000 V
51.22 psec,0.0000 V
