-0.063737,0,0.1147
-0.062421,0.001,0.11574
-0.061087,0.002,0.11676
-0.059735,0.003,0.11776
-0.058365,0.004,0.11875
-0.056978,0.005,0.11972
-0.055573,0.006,0.12067
-0.054152,0.007,0.1216
-0.052713,0.008,0.12252
-0.051258,0.009,0.12342
-0.049786,0.01,0.12431
-0.048298,0.011,0.12517
-0.046794,0.012,0.12602
-0.045274,0.013,0.12684
-0.043739,0.014,0.12765
-0.042189,0.015,0.12844
-0.040624,0.016,0.1292
-0.039045,0.017,0.12995
-0.037451,0.018,0.13068
-0.035843,0.019,0.13138
-0.034222,0.02,0.13207
-0.032587,0.021,0.13273
-0.030939,0.022,0.13337
-0.029278,0.023,0.13399
-0.027604,0.024,0.13459
-0.025919,0.025,0.13516
-0.024222,0.026,0.13572
-0.022513,0.027,0.13625
-0.020793,0.028,0.13675
-0.019062,0.029,0.13724
-0.017321,0.03,0.1377
-0.015569,0.031,0.13813
-0.013808,0.032,0.13855
-0.012037,0.033,0.13893
-0.010257,0.034,0.1393
-0.0084688,0.035,0.13964
-0.0066719,0.036,0.13995
-0.0048671,0.037,0.14024
-0.0030547,0.038,0.14051
-0.001235,0.039,0.14075
0.00059145,0.04,0.14096
0.0024244,0.041,0.14115
0.0042634,0.042,0.14131
0.0061081,0.043,0.14145
0.0079581,0.044,0.14156
0.0098129,0.045,0.14165
0.011672,0.046,0.14171
0.013536,0.047,0.14174
0.015403,0.048,0.14175
0.017273,0.049,0.14173
0.019146,0.05,0.14168
0.021022,0.051,0.14161
0.0229,0.052,0.14151
0.024779,0.053,0.14138
0.02666,0.054,0.14122
0.028541,0.055,0.14104
0.030423,0.056,0.14083
0.032305,0.057,0.1406
0.034186,0.058,0.14034
0.036066,0.059,0.14005
0.037945,0.06,0.13973
0.039822,0.061,0.13939
0.041697,0.062,0.13901
0.04357,0.063,0.13862
0.045439,0.064,0.13819
0.047305,0.065,0.13774
0.049167,0.066,0.13726
0.051025,0.067,0.13675
0.052878,0.068,0.13621
0.054726,0.069,0.13565
0.056568,0.07,0.13506
0.058404,0.071,0.13445
0.060234,0.072,0.1338
0.062057,0.073,0.13313
0.063872,0.074,0.13244
0.06568,0.075,0.13171
0.06748,0.076,0.13096
0.069271,0.077,0.13019
0.071053,0.078,0.12938
0.072825,0.079,0.12855
0.074588,0.08,0.1277
0.07634,0.081,0.12681
0.078082,0.082,0.12591
0.079813,0.083,0.12497
0.081532,0.084,0.12401
0.083239,0.085,0.12303
0.084934,0.086,0.12202
0.086616,0.087,0.12098
0.088285,0.088,0.11992
0.08994,0.089,0.11883
0.091582,0.09,0.11772
0.093209,0.091,0.11659
0.094821,0.092,0.11543
0.096419,0.093,0.11424
0.098,0.094,0.11304
0.099566,0.095,0.1118
0.10112,0.096,0.11055
0.10265,0.097,0.10927
0.10416,0.098,0.10797
0.10566,0.099,0.10665
0.10714,0.1,0.1053
0.10861,0.101,0.10393
0.11005,0.102,0.10254
0.11148,0.103,0.10113
0.11288,0.104,0.099697
0.11427,0.105,0.098243
0.11564,0.106,0.096767
0.11698,0.107,0.095271
0.11831,0.108,0.093755
0.11961,0.109,0.092219
0.1209,0.11,0.090663
0.12216,0.111,0.089087
0.1234,0.112,0.087493
0.12462,0.113,0.08588
0.12581,0.114,0.084248
0.12699,0.115,0.082599
0.12814,0.116,0.080932
0.12927,0.117,0.079247
0.13037,0.118,0.077546
0.13145,0.119,0.075828
0.1325,0.12,0.074093
0.13354,0.121,0.072343
0.13454,0.122,0.070577
0.13552,0.123,0.068796
0.13648,0.124,0.067
0.13741,0.125,0.06519
