"time
References : ['I_sec70.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec70.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
628.6 fsec,0.6758E-273A
629.6 fsec,0.8440E-273A
630.6 fsec,1.054E-273A
631.6 fsec,1.315E-273A
632.6 fsec,1.641E-273A
633.6 fsec,2.047E-273A
634.6 fsec,2.552E-273A
635.6 fsec,3.180E-273A
636.6 fsec,3.963E-273A
637.6 fsec,4.936E-273A
638.6 fsec,6.145E-273A
639.6 fsec,7.649E-273A
640.6 fsec,9.518E-273A
641.6 fsec,0.01184E-270A
642.6 fsec,0.01472E-270A
643.6 fsec,0.01830E-270A
644.6 fsec,0.02274E-270A
645.6 fsec,0.02824E-270A
646.6 fsec,0.03507E-270A
647.6 fsec,0.04354E-270A
648.6 fsec,0.05403E-270A
649.6 fsec,0.06703E-270A
650.6 fsec,0.08312E-270A
651.6 fsec,0.1031E-270A
652.6 fsec,0.1277E-270A
653.6 fsec,0.1582E-270A
654.6 fsec,0.1960E-270A
655.6 fsec,0.2427E-270A
656.6 fsec,0.3003E-270A
657.6 fsec,0.3716E-270A
658.6 fsec,0.4597E-270A
659.6 fsec,0.5684E-270A
660.6 fsec,0.7027E-270A
661.6 fsec,0.8684E-270A
662.6 fsec,1.073E-270A
663.6 fsec,1.325E-270A
664.6 fsec,1.636E-270A
665.6 fsec,2.019E-270A
666.6 fsec,2.491E-270A
667.6 fsec,3.073E-270A
668.6 fsec,3.789E-270A
669.6 fsec,4.670E-270A
670.6 fsec,5.755E-270A
671.6 fsec,7.090E-270A
672.6 fsec,8.732E-270A
673.6 fsec,0.01075E-267A
674.6 fsec,0.01323E-267A
675.6 fsec,0.01628E-267A
676.6 fsec,0.02003E-267A
677.6 fsec,0.02463E-267A
678.6 fsec,0.03028E-267A
679.6 fsec,0.03721E-267A
680.6 fsec,0.04571E-267A
681.6 fsec,0.05615E-267A
682.6 fsec,0.06894E-267A
683.6 fsec,0.08463E-267A
684.6 fsec,0.1038E-267A
685.6 fsec,0.1274E-267A
686.6 fsec,0.1562E-267A
687.6 fsec,0.1916E-267A
688.6 fsec,0.2348E-267A
689.6 fsec,0.2877E-267A
690.6 fsec,0.3524E-267A
691.6 fsec,0.4316E-267A
692.6 fsec,0.5284E-267A
693.6 fsec,0.6467E-267A
694.6 fsec,0.7913E-267A
695.6 fsec,0.9679E-267A
696.6 fsec,1.184E-267A
697.6 fsec,1.447E-267A
698.6 fsec,1.769E-267A
699.6 fsec,2.161E-267A
700.6 fsec,2.639E-267A
701.6 fsec,3.223E-267A
702.6 fsec,3.935E-267A
703.6 fsec,4.802E-267A
704.6 fsec,5.859E-267A
705.6 fsec,7.147E-267A
706.6 fsec,8.715E-267A
707.6 fsec,0.01062E-264A
708.6 fsec,0.01295E-264A
709.6 fsec,0.01578E-264A
710.6 fsec,0.01922E-264A
711.6 fsec,0.02340E-264A
712.6 fsec,0.02849E-264A
713.6 fsec,0.03468E-264A
714.6 fsec,0.04219E-264A
715.6 fsec,0.05132E-264A
716.6 fsec,0.06241E-264A
717.6 fsec,0.07588E-264A
718.6 fsec,0.09223E-264A
719.6 fsec,0.1121E-264A
720.6 fsec,0.1361E-264A
721.6 fsec,0.1653E-264A
722.6 fsec,0.2007E-264A
723.6 fsec,0.2437E-264A
724.6 fsec,0.2957E-264A
725.6 fsec,0.3587E-264A
726.6 fsec,0.4351E-264A
727.6 fsec,0.5276E-264A
728.6 fsec,0.6396E-264A
729.6 fsec,0.7751E-264A
730.6 fsec,0.9391E-264A
731.6 fsec,1.138E-264A
732.6 fsec,1.377E-264A
733.6 fsec,1.668E-264A
734.6 fsec,2.018E-264A
735.6 fsec,2.442E-264A
736.6 fsec,2.955E-264A
737.6 fsec,3.573E-264A
738.6 fsec,4.321E-264A
739.6 fsec,5.223E-264A
740.6 fsec,6.312E-264A
741.6 fsec,7.626E-264A
742.6 fsec,9.211E-264A
743.6 fsec,0.01112E-261A
744.6 fsec,0.01343E-261A
745.6 fsec,0.01621E-261A
746.6 fsec,0.01956E-261A
747.6 fsec,0.02359E-261A
748.6 fsec,0.02846E-261A
749.6 fsec,0.03431E-261A
750.6 fsec,0.04136E-261A
751.6 fsec,0.04985E-261A
752.6 fsec,0.06006E-261A
753.6 fsec,0.07235E-261A
754.6 fsec,0.08713E-261A
755.6 fsec,0.1049E-261A
756.6 fsec,0.1263E-261A
757.6 fsec,0.1520E-261A
758.6 fsec,0.1828E-261A
759.6 fsec,0.2199E-261A
760.6 fsec,0.2645E-261A
761.6 fsec,0.3180E-261A
762.6 fsec,0.3822E-261A
763.6 fsec,0.4593E-261A
764.6 fsec,0.5518E-261A
765.6 fsec,0.6627E-261A
766.6 fsec,0.7959E-261A
767.6 fsec,0.9555E-261A
768.6 fsec,1.147E-261A
769.6 fsec,1.376E-261A
770.6 fsec,1.651E-261A
771.6 fsec,1.980E-261A
772.6 fsec,2.375E-261A
773.6 fsec,2.847E-261A
774.6 fsec,3.412E-261A
775.6 fsec,4.089E-261A
776.6 fsec,4.899E-261A
777.6 fsec,5.867E-261A
778.6 fsec,7.026E-261A
779.6 fsec,8.412E-261A
780.6 fsec,0.01007E-258A
781.6 fsec,0.01205E-258A
782.6 fsec,0.01441E-258A
783.6 fsec,0.01724E-258A
784.6 fsec,0.02062E-258A
785.6 fsec,0.02465E-258A
786.6 fsec,0.02947E-258A
787.6 fsec,0.03521E-258A
788.6 fsec,0.04207E-258A
789.6 fsec,0.05026E-258A
790.6 fsec,0.06002E-258A
791.6 fsec,0.07166E-258A
792.6 fsec,0.08554E-258A
793.6 fsec,0.1021E-258A
794.6 fsec,0.1218E-258A
795.6 fsec,0.1453E-258A
796.6 fsec,0.1733E-258A
797.6 fsec,0.2067E-258A
798.6 fsec,0.2464E-258A
799.6 fsec,0.2936E-258A
800.6 fsec,0.3499E-258A
801.6 fsec,0.4169E-258A
802.6 fsec,0.4965E-258A
803.6 fsec,0.5913E-258A
804.6 fsec,0.7040E-258A
805.6 fsec,0.8380E-258A
806.6 fsec,0.9973E-258A
807.6 fsec,1.187E-258A
808.6 fsec,1.412E-258A
809.6 fsec,1.679E-258A
810.6 fsec,1.996E-258A
811.6 fsec,2.373E-258A
812.6 fsec,2.821E-258A
813.6 fsec,3.352E-258A
814.6 fsec,3.982E-258A
815.6 fsec,4.730E-258A
816.6 fsec,5.617E-258A
817.6 fsec,6.669E-258A
818.6 fsec,7.917E-258A
819.6 fsec,9.396E-258A
820.6 fsec,0.01115E-255A
821.6 fsec,0.01323E-255A
822.6 fsec,0.01569E-255A
823.6 fsec,0.01860E-255A
824.6 fsec,0.02206E-255A
825.6 fsec,0.02615E-255A
826.6 fsec,0.03099E-255A
827.6 fsec,0.03672E-255A
828.6 fsec,0.04350E-255A
829.6 fsec,0.05152E-255A
830.6 fsec,0.06100E-255A
831.6 fsec,0.07222E-255A
832.6 fsec,0.08549E-255A
833.6 fsec,0.1012E-255A
834.6 fsec,0.1197E-255A
835.6 fsec,0.1416E-255A
836.6 fsec,0.1675E-255A
