"time
References : ['I_sec1.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec1.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
200.6 fsec,2.740 mA
201.6 fsec,2.749 mA
202.6 fsec,2.758 mA
203.6 fsec,2.766 mA
204.6 fsec,2.775 mA
205.6 fsec,2.783 mA
206.6 fsec,2.792 mA
207.6 fsec,2.800 mA
208.6 fsec,2.809 mA
209.6 fsec,2.817 mA
210.6 fsec,2.826 mA
211.6 fsec,2.834 mA
212.6 fsec,2.842 mA
213.6 fsec,2.851 mA
214.6 fsec,2.859 mA
215.6 fsec,2.867 mA
216.6 fsec,2.875 mA
217.6 fsec,2.883 mA
218.6 fsec,2.891 mA
219.6 fsec,2.899 mA
220.6 fsec,2.907 mA
221.6 fsec,2.915 mA
222.6 fsec,2.923 mA
223.6 fsec,2.931 mA
224.6 fsec,2.939 mA
225.6 fsec,2.947 mA
226.6 fsec,2.955 mA
227.6 fsec,2.963 mA
228.6 fsec,2.970 mA
229.6 fsec,2.978 mA
230.6 fsec,2.986 mA
231.6 fsec,2.993 mA
232.6 fsec,3.001 mA
233.6 fsec,3.009 mA
234.6 fsec,3.016 mA
235.6 fsec,3.024 mA
236.6 fsec,3.031 mA
237.6 fsec,3.039 mA
238.6 fsec,3.046 mA
239.6 fsec,3.053 mA
240.6 fsec,3.061 mA
241.6 fsec,3.068 mA
242.6 fsec,3.075 mA
243.6 fsec,3.083 mA
244.6 fsec,3.090 mA
245.6 fsec,3.097 mA
246.6 fsec,3.104 mA
247.6 fsec,3.111 mA
248.6 fsec,3.118 mA
249.6 fsec,3.125 mA
250.6 fsec,3.132 mA
251.6 fsec,3.139 mA
252.6 fsec,3.146 mA
253.6 fsec,3.153 mA
254.6 fsec,3.160 mA
255.6 fsec,3.167 mA
256.6 fsec,3.174 mA
257.6 fsec,3.181 mA
258.6 fsec,3.188 mA
259.6 fsec,3.194 mA
260.6 fsec,3.201 mA
261.6 fsec,3.208 mA
262.6 fsec,3.214 mA
263.6 fsec,3.221 mA
264.6 fsec,3.228 mA
265.6 fsec,3.234 mA
266.6 fsec,3.241 mA
267.6 fsec,3.247 mA
268.6 fsec,3.254 mA
269.6 fsec,3.260 mA
270.6 fsec,3.267 mA
271.6 fsec,3.273 mA
272.6 fsec,3.279 mA
273.6 fsec,3.286 mA
274.6 fsec,3.292 mA
275.6 fsec,3.298 mA
276.6 fsec,3.305 mA
277.6 fsec,3.311 mA
278.6 fsec,3.317 mA
279.6 fsec,3.323 mA
280.6 fsec,3.329 mA
281.6 fsec,3.335 mA
282.6 fsec,3.342 mA
283.6 fsec,3.348 mA
284.6 fsec,3.354 mA
285.6 fsec,3.360 mA
286.6 fsec,3.366 mA
287.6 fsec,3.372 mA
288.6 fsec,3.378 mA
289.6 fsec,3.383 mA
290.6 fsec,3.389 mA
291.6 fsec,3.395 mA
292.6 fsec,3.401 mA
293.6 fsec,3.407 mA
294.6 fsec,3.412 mA
295.6 fsec,3.418 mA
296.6 fsec,3.424 mA
297.6 fsec,3.430 mA
298.6 fsec,3.435 mA
299.6 fsec,3.441 mA
300.6 fsec,3.447 mA
301.6 fsec,3.452 mA
302.6 fsec,3.458 mA
303.6 fsec,3.463 mA
304.6 fsec,3.469 mA
305.6 fsec,3.474 mA
306.6 fsec,3.480 mA
307.6 fsec,3.485 mA
308.6 fsec,3.490 mA
309.6 fsec,3.496 mA
310.6 fsec,3.501 mA
311.6 fsec,3.507 mA
312.6 fsec,3.512 mA
313.6 fsec,3.517 mA
314.6 fsec,3.522 mA
315.6 fsec,3.528 mA
316.6 fsec,3.533 mA
317.6 fsec,3.538 mA
318.6 fsec,3.543 mA
319.6 fsec,3.548 mA
320.6 fsec,3.553 mA
321.6 fsec,3.558 mA
322.6 fsec,3.564 mA
323.6 fsec,3.569 mA
324.6 fsec,3.574 mA
325.6 fsec,3.579 mA
326.6 fsec,3.584 mA
327.6 fsec,3.589 mA
328.6 fsec,3.593 mA
329.6 fsec,3.598 mA
330.6 fsec,3.603 mA
331.6 fsec,3.608 mA
332.6 fsec,3.613 mA
333.6 fsec,3.618 mA
334.6 fsec,3.622 mA
335.6 fsec,3.627 mA
336.6 fsec,3.632 mA
337.6 fsec,3.637 mA
338.6 fsec,3.641 mA
339.6 fsec,3.646 mA
340.6 fsec,3.651 mA
341.6 fsec,3.655 mA
342.6 fsec,3.660 mA
343.6 fsec,3.665 mA
344.6 fsec,3.669 mA
345.6 fsec,3.674 mA
346.6 fsec,3.678 mA
347.6 fsec,3.683 mA
348.6 fsec,3.687 mA
349.6 fsec,3.692 mA
350.6 fsec,3.696 mA
351.6 fsec,3.700 mA
352.6 fsec,3.705 mA
353.6 fsec,3.709 mA
354.6 fsec,3.714 mA
355.6 fsec,3.718 mA
356.6 fsec,3.722 mA
357.6 fsec,3.726 mA
358.6 fsec,3.731 mA
359.6 fsec,3.735 mA
360.6 fsec,3.739 mA
361.6 fsec,3.743 mA
362.6 fsec,3.748 mA
363.6 fsec,3.752 mA
364.6 fsec,3.756 mA
365.6 fsec,3.760 mA
366.6 fsec,3.764 mA
367.6 fsec,3.768 mA
368.6 fsec,3.772 mA
369.6 fsec,3.776 mA
370.6 fsec,3.780 mA
371.6 fsec,3.784 mA
372.6 fsec,3.788 mA
373.6 fsec,3.792 mA
374.6 fsec,3.796 mA
375.6 fsec,3.800 mA
376.6 fsec,3.804 mA
377.6 fsec,3.808 mA
378.6 fsec,3.812 mA
379.6 fsec,3.816 mA
380.6 fsec,3.819 mA
381.6 fsec,3.823 mA
382.6 fsec,3.827 mA
383.6 fsec,3.831 mA
384.6 fsec,3.835 mA
385.6 fsec,3.838 mA
386.6 fsec,3.842 mA
387.6 fsec,3.846 mA
388.6 fsec,3.849 mA
389.6 fsec,3.853 mA
390.6 fsec,3.857 mA
391.6 fsec,3.860 mA
392.6 fsec,3.864 mA
393.6 fsec,3.868 mA
394.6 fsec,3.871 mA
395.6 fsec,3.875 mA
396.6 fsec,3.878 mA
397.6 fsec,3.882 mA
398.6 fsec,3.885 mA
399.6 fsec,3.889 mA
400.6 fsec,3.892 mA
401.6 fsec,3.896 mA
402.6 fsec,3.899 mA
403.6 fsec,3.902 mA
404.6 fsec,3.906 mA
405.6 fsec,3.909 mA
406.6 fsec,3.913 mA
407.6 fsec,3.916 mA
408.6 fsec,3.919 mA
409.6 fsec,3.923 mA
410.6 fsec,3.926 mA
411.6 fsec,3.929 mA
412.6 fsec,3.932 mA
413.6 fsec,3.936 mA
414.6 fsec,3.939 mA
415.6 fsec,3.942 mA
416.6 fsec,3.945 mA
417.6 fsec,3.948 mA
418.6 fsec,3.952 mA
419.6 fsec,3.955 mA
420.6 fsec,3.958 mA
421.6 fsec,3.961 mA
422.6 fsec,3.964 mA
423.6 fsec,3.967 mA
424.6 fsec,3.970 mA
425.6 fsec,3.973 mA
426.6 fsec,3.976 mA
427.6 fsec,3.979 mA
428.6 fsec,3.982 mA
429.6 fsec,3.985 mA
430.6 fsec,3.988 mA
431.6 fsec,3.991 mA
432.6 fsec,3.994 mA
433.6 fsec,3.997 mA
434.6 fsec,4.000 mA
435.6 fsec,4.003 mA
436.6 fsec,4.006 mA
437.6 fsec,4.009 mA
438.6 fsec,4.011 mA
439.6 fsec,4.014 mA
440.6 fsec,4.017 mA
441.6 fsec,4.020 mA
442.6 fsec,4.023 mA
443.6 fsec,4.025 mA
444.6 fsec,4.028 mA
445.6 fsec,4.031 mA
446.6 fsec,4.034 mA
447.6 fsec,4.036 mA
448.6 fsec,4.039 mA
449.6 fsec,4.042 mA
450.6 fsec,4.044 mA
451.6 fsec,4.047 mA
452.6 fsec,4.050 mA
453.6 fsec,4.052 mA
454.6 fsec,4.055 mA
455.6 fsec,4.057 mA
456.6 fsec,4.060 mA
457.6 fsec,4.063 mA
458.6 fsec,4.065 mA
459.6 fsec,4.068 mA
460.6 fsec,4.070 mA
461.6 fsec,4.073 mA
462.6 fsec,4.075 mA
463.6 fsec,4.078 mA
464.6 fsec,4.080 mA
465.6 fsec,4.083 mA
466.6 fsec,4.085 mA
467.6 fsec,4.087 mA
468.6 fsec,4.090 mA
