"time
References : ['INPUT']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","INPUT
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
215.6 fsec,1.000  V
216.6 fsec,1.000  V
217.6 fsec,1.000  V
218.6 fsec,1.000  V
219.6 fsec,1.000  V
220.6 fsec,1.000  V
221.6 fsec,1.000  V
222.6 fsec,1.000  V
223.6 fsec,1.000  V
224.6 fsec,1.000  V
225.6 fsec,1.000  V
226.6 fsec,1.000  V
227.6 fsec,1.000  V
228.6 fsec,1.000  V
229.6 fsec,1.000  V
230.6 fsec,1.000  V
231.6 fsec,1.000  V
232.6 fsec,1.000  V
233.6 fsec,1.000  V
234.6 fsec,1.000  V
235.6 fsec,1.000  V
236.6 fsec,1.000  V
237.6 fsec,1.000  V
238.6 fsec,1.000  V
239.6 fsec,1.000  V
240.6 fsec,1.000  V
241.6 fsec,1.000  V
242.6 fsec,1.000  V
243.6 fsec,1.000  V
244.6 fsec,1.000  V
245.6 fsec,1.000  V
246.6 fsec,1.000  V
247.6 fsec,1.000  V
248.6 fsec,1.000  V
249.6 fsec,1.000  V
250.6 fsec,1.000  V
251.6 fsec,1.000  V
252.6 fsec,1.000  V
253.6 fsec,1.000  V
254.6 fsec,1.000  V
255.6 fsec,1.000  V
256.6 fsec,1.000  V
257.6 fsec,1.000  V
258.6 fsec,1.000  V
259.6 fsec,1.000  V
260.6 fsec,1.000  V
261.6 fsec,1.000  V
262.6 fsec,1.000  V
263.6 fsec,1.000  V
264.6 fsec,1.000  V
265.6 fsec,1.000  V
266.6 fsec,1.000  V
267.6 fsec,1.000  V
268.6 fsec,1.000  V
269.6 fsec,1.000  V
270.6 fsec,1.000  V
271.6 fsec,1.000  V
272.6 fsec,1.000  V
273.6 fsec,1.000  V
274.6 fsec,1.000  V
275.6 fsec,1.000  V
276.6 fsec,1.000  V
277.6 fsec,1.000  V
278.6 fsec,1.000  V
279.6 fsec,1.000  V
280.6 fsec,1.000  V
281.6 fsec,1.000  V
282.6 fsec,1.000  V
283.6 fsec,1.000  V
284.6 fsec,1.000  V
285.6 fsec,1.000  V
286.6 fsec,1.000  V
287.6 fsec,1.000  V
288.6 fsec,1.000  V
289.6 fsec,1.000  V
290.6 fsec,1.000  V
291.6 fsec,1.000  V
292.6 fsec,1.000  V
293.6 fsec,1.000  V
294.6 fsec,1.000  V
295.6 fsec,1.000  V
296.6 fsec,1.000  V
297.6 fsec,1.000  V
298.6 fsec,1.000  V
299.6 fsec,1.000  V
300.6 fsec,1.000  V
301.6 fsec,1.000  V
302.6 fsec,1.000  V
303.6 fsec,1.000  V
304.6 fsec,1.000  V
305.6 fsec,1.000  V
306.6 fsec,1.000  V
307.6 fsec,1.000  V
308.6 fsec,1.000  V
309.6 fsec,1.000  V
310.6 fsec,1.000  V
311.6 fsec,1.000  V
312.6 fsec,1.000  V
313.6 fsec,1.000  V
314.6 fsec,1.000  V
315.6 fsec,1.000  V
316.6 fsec,1.000  V
317.6 fsec,1.000  V
318.6 fsec,1.000  V
319.6 fsec,1.000  V
320.6 fsec,1.000  V
321.6 fsec,1.000  V
322.6 fsec,1.000  V
323.6 fsec,1.000  V
324.6 fsec,1.000  V
325.6 fsec,1.000  V
326.6 fsec,1.000  V
327.6 fsec,1.000  V
328.6 fsec,1.000  V
329.6 fsec,1.000  V
330.6 fsec,1.000  V
331.6 fsec,1.000  V
332.6 fsec,1.000  V
333.6 fsec,1.000  V
334.6 fsec,1.000  V
335.6 fsec,1.000  V
336.6 fsec,1.000  V
337.6 fsec,1.000  V
338.6 fsec,1.000  V
339.6 fsec,1.000  V
340.6 fsec,1.000  V
341.6 fsec,1.000  V
342.6 fsec,1.000  V
343.6 fsec,1.000  V
344.6 fsec,1.000  V
345.6 fsec,1.000  V
346.6 fsec,1.000  V
347.6 fsec,1.000  V
348.6 fsec,1.000  V
349.6 fsec,1.000  V
350.6 fsec,1.000  V
351.6 fsec,1.000  V
352.6 fsec,1.000  V
353.6 fsec,1.000  V
354.6 fsec,1.000  V
355.6 fsec,1.000  V
356.6 fsec,1.000  V
357.6 fsec,1.000  V
358.6 fsec,1.000  V
359.6 fsec,1.000  V
360.6 fsec,1.000  V
361.6 fsec,1.000  V
362.6 fsec,1.000  V
363.6 fsec,1.000  V
364.6 fsec,1.000  V
365.6 fsec,1.000  V
366.6 fsec,1.000  V
367.6 fsec,1.000  V
368.6 fsec,1.000  V
369.6 fsec,1.000  V
370.6 fsec,1.000  V
371.6 fsec,1.000  V
372.6 fsec,1.000  V
373.6 fsec,1.000  V
374.6 fsec,1.000  V
375.6 fsec,1.000  V
376.6 fsec,1.000  V
377.6 fsec,1.000  V
378.6 fsec,1.000  V
379.6 fsec,1.000  V
380.6 fsec,1.000  V
381.6 fsec,1.000  V
382.6 fsec,1.000  V
383.6 fsec,1.000  V
384.6 fsec,1.000  V
385.6 fsec,1.000  V
386.6 fsec,1.000  V
387.6 fsec,1.000  V
388.6 fsec,1.000  V
389.6 fsec,1.000  V
390.6 fsec,1.000  V
391.6 fsec,1.000  V
392.6 fsec,1.000  V
393.6 fsec,1.000  V
394.6 fsec,1.000  V
395.6 fsec,1.000  V
396.6 fsec,1.000  V
397.6 fsec,1.000  V
398.6 fsec,1.000  V
399.6 fsec,1.000  V
400.6 fsec,1.000  V
401.6 fsec,1.000  V
402.6 fsec,1.000  V
403.6 fsec,1.000  V
404.6 fsec,1.000  V
405.6 fsec,1.000  V
406.6 fsec,1.000  V
407.6 fsec,1.000  V
408.6 fsec,1.000  V
409.6 fsec,1.000  V
410.6 fsec,1.000  V
411.6 fsec,1.000  V
412.6 fsec,1.000  V
413.6 fsec,1.000  V
414.6 fsec,1.000  V
415.6 fsec,1.000  V
416.6 fsec,1.000  V
417.6 fsec,1.000  V
418.6 fsec,1.000  V
419.6 fsec,1.000  V
420.6 fsec,1.000  V
421.6 fsec,1.000  V
422.6 fsec,1.000  V
423.6 fsec,1.000  V
424.6 fsec,1.000  V
425.6 fsec,1.000  V
426.6 fsec,1.000  V
427.6 fsec,1.000  V
428.6 fsec,1.000  V
429.6 fsec,1.000  V
430.6 fsec,1.000  V
431.6 fsec,1.000  V
432.6 fsec,1.000  V
433.6 fsec,1.000  V
434.6 fsec,1.000  V
435.6 fsec,1.000  V
436.6 fsec,1.000  V
437.6 fsec,1.000  V
438.6 fsec,1.000  V
439.6 fsec,1.000  V
440.6 fsec,1.000  V
441.6 fsec,1.000  V
442.6 fsec,1.000  V
443.6 fsec,1.000  V
444.6 fsec,1.000  V
445.6 fsec,1.000  V
446.6 fsec,1.000  V
447.6 fsec,1.000  V
448.6 fsec,1.000  V
449.6 fsec,1.000  V
450.6 fsec,1.000  V
451.6 fsec,1.000  V
452.6 fsec,1.000  V
453.6 fsec,1.000  V
454.6 fsec,1.000  V
455.6 fsec,1.000  V
456.6 fsec,1.000  V
457.6 fsec,1.000  V
458.6 fsec,1.000  V
459.6 fsec,1.000  V
460.6 fsec,1.000  V
461.6 fsec,1.000  V
462.6 fsec,1.000  V
463.6 fsec,1.000  V
464.6 fsec,1.000  V
465.6 fsec,1.000  V
466.6 fsec,1.000  V
467.6 fsec,1.000  V
468.6 fsec,1.000  V
469.6 fsec,1.000  V
470.6 fsec,1.000  V
471.6 fsec,1.000  V
472.6 fsec,1.000  V
473.6 fsec,1.000  V
474.6 fsec,1.000  V
475.6 fsec,1.000  V
476.6 fsec,1.000  V
477.6 fsec,1.000  V
478.6 fsec,1.000  V
479.6 fsec,1.000  V
480.6 fsec,1.000  V
481.6 fsec,1.000  V
482.6 fsec,1.000  V
483.6 fsec,1.000  V
484.6 fsec,1.000  V
485.6 fsec,1.000  V
486.6 fsec,1.000  V
487.6 fsec,1.000  V
488.6 fsec,1.000  V
489.6 fsec,1.000  V
490.6 fsec,1.000  V
491.6 fsec,1.000  V
492.6 fsec,1.000  V
493.6 fsec,1.000  V
494.6 fsec,1.000  V
495.6 fsec,1.000  V
496.6 fsec,1.000  V
497.6 fsec,1.000  V
498.6 fsec,1.000  V
499.6 fsec,1.000  V
500.6 fsec,1.000  V
501.6 fsec,1.000  V
502.6 fsec,1.000  V
503.6 fsec,1.000  V
504.6 fsec,1.000  V
505.6 fsec,1.000  V
506.6 fsec,1.000  V
507.6 fsec,1.000  V
508.6 fsec,1.000  V
509.6 fsec,1.000  V
510.6 fsec,1.000  V
511.6 fsec,1.000  V
512.6 fsec,1.000  V
513.6 fsec,1.000  V
514.6 fsec,1.000  V
515.6 fsec,1.000  V
516.6 fsec,1.000  V
517.6 fsec,1.000  V
518.6 fsec,1.000  V
519.6 fsec,1.000  V
520.6 fsec,1.000  V
521.6 fsec,1.000  V
522.6 fsec,1.000  V
523.6 fsec,1.000  V
524.6 fsec,1.000  V
525.6 fsec,1.000  V
526.6 fsec,1.000  V
527.6 fsec,1.000  V
528.6 fsec,1.000  V
529.6 fsec,1.000  V
530.6 fsec,1.000  V
531.6 fsec,1.000  V
532.6 fsec,1.000  V
533.6 fsec,1.000  V
534.6 fsec,1.000  V
535.6 fsec,1.000  V
536.6 fsec,1.000  V
537.6 fsec,1.000  V
538.6 fsec,1.000  V
539.6 fsec,1.000  V
540.6 fsec,1.000  V
541.6 fsec,1.000  V
542.6 fsec,1.000  V
543.6 fsec,1.000  V
544.6 fsec,1.000  V
545.6 fsec,1.000  V
546.6 fsec,1.000  V
547.6 fsec,1.000  V
548.6 fsec,1.000  V
549.6 fsec,1.000  V
550.6 fsec,1.000  V
551.6 fsec,1.000  V
552.6 fsec,1.000  V
553.6 fsec,1.000  V
554.6 fsec,1.000  V
555.6 fsec,1.000  V
556.6 fsec,1.000  V
