"time
References : ['vcap4']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","vcap4
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
198.6 fsec,54.89 pV
199.6 fsec,57.12 pV
200.6 fsec,59.42 pV
201.6 fsec,61.80 pV
202.6 fsec,64.27 pV
203.6 fsec,66.82 pV
204.6 fsec,69.46 pV
205.6 fsec,72.19 pV
206.6 fsec,75.02 pV
207.6 fsec,77.93 pV
208.6 fsec,80.95 pV
209.6 fsec,84.07 pV
210.6 fsec,87.30 pV
211.6 fsec,90.63 pV
212.6 fsec,94.07 pV
213.6 fsec,97.62 pV
214.6 fsec,101.3 pV
215.6 fsec,105.1 pV
216.6 fsec,109.0 pV
217.6 fsec,113.0 pV
218.6 fsec,117.2 pV
219.6 fsec,121.5 pV
220.6 fsec,126.0 pV
221.6 fsec,130.5 pV
222.6 fsec,135.3 pV
223.6 fsec,140.1 pV
224.6 fsec,145.2 pV
225.6 fsec,150.3 pV
226.6 fsec,155.7 pV
227.6 fsec,161.2 pV
228.6 fsec,166.9 pV
229.6 fsec,172.7 pV
230.6 fsec,178.8 pV
231.6 fsec,185.0 pV
232.6 fsec,191.4 pV
233.6 fsec,198.0 pV
234.6 fsec,204.8 pV
235.6 fsec,211.8 pV
236.6 fsec,219.0 pV
237.6 fsec,226.4 pV
238.6 fsec,234.0 pV
239.6 fsec,241.8 pV
240.6 fsec,249.9 pV
241.6 fsec,258.2 pV
242.6 fsec,266.8 pV
243.6 fsec,275.6 pV
244.6 fsec,284.6 pV
245.6 fsec,294.0 pV
246.6 fsec,303.5 pV
247.6 fsec,313.4 pV
248.6 fsec,323.5 pV
249.6 fsec,333.9 pV
250.6 fsec,344.6 pV
251.6 fsec,355.6 pV
252.6 fsec,366.9 pV
253.6 fsec,378.5 pV
254.6 fsec,390.4 pV
255.6 fsec,402.7 pV
256.6 fsec,415.3 pV
257.6 fsec,428.2 pV
258.6 fsec,441.5 pV
259.6 fsec,455.1 pV
260.6 fsec,469.1 pV
261.6 fsec,483.5 pV
262.6 fsec,498.3 pV
263.6 fsec,513.4 pV
264.6 fsec,529.0 pV
265.6 fsec,545.0 pV
266.6 fsec,561.3 pV
267.6 fsec,578.1 pV
268.6 fsec,595.4 pV
269.6 fsec,613.1 pV
270.6 fsec,631.2 pV
271.6 fsec,649.8 pV
272.6 fsec,668.9 pV
273.6 fsec,688.5 pV
274.6 fsec,708.5 pV
275.6 fsec,729.1 pV
276.6 fsec,750.2 pV
277.6 fsec,771.8 pV
278.6 fsec,794.0 pV
279.6 fsec,816.7 pV
280.6 fsec,840.0 pV
281.6 fsec,863.9 pV
282.6 fsec,888.3 pV
283.6 fsec,913.4 pV
284.6 fsec,939.0 pV
285.6 fsec,965.3 pV
286.6 fsec,992.2 pV
287.6 fsec,1.020 nV
288.6 fsec,1.048 nV
289.6 fsec,1.077 nV
290.6 fsec,1.107 nV
291.6 fsec,1.137 nV
292.6 fsec,1.168 nV
293.6 fsec,1.200 nV
294.6 fsec,1.232 nV
295.6 fsec,1.266 nV
296.6 fsec,1.300 nV
297.6 fsec,1.334 nV
298.6 fsec,1.370 nV
299.6 fsec,1.407 nV
300.6 fsec,1.444 nV
301.6 fsec,1.482 nV
302.6 fsec,1.521 nV
303.6 fsec,1.561 nV
304.6 fsec,1.602 nV
305.6 fsec,1.644 nV
306.6 fsec,1.687 nV
307.6 fsec,1.730 nV
