"time
References : ['I_cap25.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_cap25.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A
10.00 asec,2.000E-258A
20.00 asec,6.000E-258A
50.00 asec,0.03443E-246A
140.0 asec,0.1027E-222A
410.0 asec,0.3503E-198A
821.8 asec,2.902E-189A
1.628 fsec,2.364E-174A
2.628 fsec,0.8170E-168A
3.628 fsec,0.07293E-165A
4.628 fsec,3.295E-165A
5.628 fsec,0.1002E-162A
6.628 fsec,2.306E-162A
7.628 fsec,0.04276E-159A
8.628 fsec,0.6651E-159A
9.628 fsec,8.923E-159A
10.63 fsec,0.1054E-156A
11.63 fsec,1.112E-156A
12.63 fsec,0.01062E-153A
13.63 fsec,0.09268E-153A
14.63 fsec,0.7453E-153A
15.63 fsec,5.561E-153A
16.63 fsec,0.03872E-150A
17.63 fsec,0.2529E-150A
18.63 fsec,1.557E-150A
19.63 fsec,9.065E-150A
20.63 fsec,0.05010E-147A
21.63 fsec,0.2637E-147A
22.63 fsec,1.325E-147A
23.63 fsec,6.377E-147A
24.63 fsec,0.02944E-144A
25.63 fsec,0.1307E-144A
26.63 fsec,0.5592E-144A
27.63 fsec,2.309E-144A
28.63 fsec,9.219E-144A
29.63 fsec,0.03564E-141A
30.63 fsec,0.1336E-141A
31.63 fsec,0.4862E-141A
32.63 fsec,1.720E-141A
33.63 fsec,5.924E-141A
34.63 fsec,0.01988E-138A
35.63 fsec,0.06505E-138A
36.63 fsec,0.2079E-138A
37.63 fsec,0.6490E-138A
38.63 fsec,1.982E-138A
39.63 fsec,5.923E-138A
40.63 fsec,0.01734E-135A
41.63 fsec,0.04976E-135A
42.63 fsec,0.1401E-135A
43.63 fsec,0.3871E-135A
44.63 fsec,1.051E-135A
45.63 fsec,2.802E-135A
46.63 fsec,7.349E-135A
47.63 fsec,0.01896E-132A
48.63 fsec,0.04816E-132A
49.63 fsec,0.1205E-132A
50.63 fsec,0.2969E-132A
51.63 fsec,0.7212E-132A
52.63 fsec,1.728E-132A
53.63 fsec,4.083E-132A
54.63 fsec,9.523E-132A
55.63 fsec,0.02193E-129A
56.63 fsec,0.04988E-129A
57.63 fsec,0.1121E-129A
58.63 fsec,0.2489E-129A
59.63 fsec,0.5465E-129A
60.63 fsec,1.187E-129A
61.63 fsec,2.549E-129A
62.63 fsec,5.417E-129A
63.63 fsec,0.01139E-126A
64.63 fsec,0.02373E-126A
65.63 fsec,0.04894E-126A
66.63 fsec,0.09999E-126A
67.63 fsec,0.2024E-126A
68.63 fsec,0.4059E-126A
