"time
References : ['I_cap2.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_cap2.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
200.6 fsec,22.08 uA
201.6 fsec,22.39 uA
202.6 fsec,22.70 uA
203.6 fsec,23.02 uA
204.6 fsec,23.34 uA
205.6 fsec,23.66 uA
206.6 fsec,23.98 uA
207.6 fsec,24.31 uA
208.6 fsec,24.64 uA
209.6 fsec,24.97 uA
210.6 fsec,25.30 uA
211.6 fsec,25.64 uA
212.6 fsec,25.98 uA
213.6 fsec,26.32 uA
214.6 fsec,26.67 uA
215.6 fsec,27.02 uA
216.6 fsec,27.37 uA
217.6 fsec,27.72 uA
218.6 fsec,28.08 uA
219.6 fsec,28.44 uA
220.6 fsec,28.80 uA
221.6 fsec,29.16 uA
222.6 fsec,29.53 uA
223.6 fsec,29.90 uA
224.6 fsec,30.28 uA
225.6 fsec,30.65 uA
226.6 fsec,31.03 uA
227.6 fsec,31.42 uA
228.6 fsec,31.80 uA
229.6 fsec,32.19 uA
230.6 fsec,32.58 uA
231.6 fsec,32.97 uA
232.6 fsec,33.37 uA
233.6 fsec,33.77 uA
234.6 fsec,34.17 uA
235.6 fsec,34.58 uA
236.6 fsec,34.99 uA
237.6 fsec,35.40 uA
238.6 fsec,35.81 uA
239.6 fsec,36.23 uA
240.6 fsec,36.65 uA
241.6 fsec,37.07 uA
242.6 fsec,37.50 uA
243.6 fsec,37.93 uA
244.6 fsec,38.36 uA
245.6 fsec,38.79 uA
246.6 fsec,39.23 uA
247.6 fsec,39.67 uA
248.6 fsec,40.11 uA
249.6 fsec,40.56 uA
250.6 fsec,41.01 uA
251.6 fsec,41.46 uA
252.6 fsec,41.92 uA
253.6 fsec,42.38 uA
254.6 fsec,42.84 uA
255.6 fsec,43.31 uA
256.6 fsec,43.77 uA
257.6 fsec,44.24 uA
258.6 fsec,44.72 uA
259.6 fsec,45.20 uA
260.6 fsec,45.68 uA
261.6 fsec,46.16 uA
262.6 fsec,46.65 uA
263.6 fsec,47.13 uA
264.6 fsec,47.63 uA
265.6 fsec,48.12 uA
266.6 fsec,48.62 uA
267.6 fsec,49.12 uA
268.6 fsec,49.63 uA
