x,y
1.3163e+06,-124.59
1.3213e+06,-132.87
1.3263e+06,-141.07
1.3313e+06,-149.21
1.3363e+06,-157.3
1.3413e+06,-165.37
1.3463e+06,-173.43
1.3514e+06,178.5
1.3564e+06,170.42
1.3614e+06,162.29
1.3664e+06,154.11
1.3714e+06,145.85
1.3764e+06,137.51
1.3814e+06,129.07
1.3864e+06,120.5
1.3914e+06,111.81
1.3964e+06,102.97
1.4014e+06,93.97
1.4064e+06,84.81
1.4114e+06,75.483
1.4164e+06,65.989
1.4214e+06,56.337
1.4264e+06,46.539
1.4314e+06,36.615
1.4364e+06,26.593
1.4414e+06,16.504
1.4464e+06,6.3858
1.4515e+06,-3.7247
1.4565e+06,-13.79
1.4615e+06,-23.775
1.4665e+06,-33.652
1.4715e+06,-43.397
1.4765e+06,-52.993
1.4815e+06,-62.432
1.4865e+06,-71.71
1.4915e+06,-80.828
1.4965e+06,-89.793
1.5015e+06,-98.615
1.5065e+06,-107.3
1.5115e+06,-115.88
1.5165e+06,-124.34
1.5215e+06,-132.72
1.5265e+06,-141.03
1.5315e+06,-149.28
1.5365e+06,-157.48
1.5415e+06,-165.66
1.5465e+06,-173.83
1.5516e+06,177.99
1.5566e+06,169.8
1.5616e+06,161.57
1.5666e+06,153.3
1.5716e+06,144.96
1.5766e+06,136.54
1.5816e+06,128.02
1.5866e+06,119.41
1.5916e+06,110.67
1.5966e+06,101.81
1.6016e+06,92.807
1.6066e+06,83.663
1.6116e+06,74.373
1.6166e+06,64.94
1.6216e+06,55.371
1.6266e+06,45.676
1.6316e+06,35.875
1.6366e+06,25.989
1.6416e+06,16.045
1.6466e+06,6.0751
1.6517e+06,-3.8905
1.6567e+06,-13.82
1.6617e+06,-23.685
1.6667e+06,-33.46
1.6717e+06,-43.125
1.6767e+06,-52.663
1.6817e+06,-62.067
1.6867e+06,-71.331
1.6917e+06,-80.455
1.6967e+06,-89.443
1.7017e+06,-98.303
1.7067e+06,-107.04
1.7117e+06,-115.68
1.7167e+06,-124.21
1.7217e+06,-132.67
1.7267e+06,-141.06
1.7317e+06,-149.39
1.7367e+06,-157.68
1.7417e+06,-165.95
1.7467e+06,-174.21
1.7518e+06,177.53
1.7568e+06,169.25
1.7618e+06,160.95
1.7668e+06,152.6
1.7718e+06,144.18
1.7768e+06,135.7
1.7818e+06,127.14
1.7868e+06,118.48
1.7918e+06,109.71
1.7968e+06,100.83
1.8018e+06,91.821
1.8068e+06,82.689
1.8118e+06,73.428
1.8168e+06,64.041
1.8218e+06,54.534
1.8268e+06,44.919
1.8318e+06,35.21
1.8368e+06,25.428
1.8418e+06,15.595
1.8468e+06,5.738
1.8519e+06,-4.1161
1.8569e+06,-13.941
1.8619e+06,-23.711
1.8669e+06,-33.404
1.8719e+06,-43.003
1.8769e+06,-52.492
1.8819e+06,-61.863
1.8869e+06,-71.111
1.8919e+06,-80.235
1.8969e+06,-89.237
1.9019e+06,-98.123
1.9069e+06,-106.9
1.9119e+06,-115.58
1.9169e+06,-124.17
1.9219e+06,-132.69
1.9269e+06,-141.14
1.9319e+06,-149.54
1.9369e+06,-157.9
1.9419e+06,-166.24
1.9469e+06,-174.57
1.952e+06,177.1
1.957e+06,168.75
1.962e+06,160.38
1.967e+06,151.97
1.972e+06,143.5
1.977e+06,134.97
1.982e+06,126.36
1.987e+06,117.66
1.992e+06,108.87
1.997e+06,99.969
2.002e+06,90.96
2.007e+06,81.837
2.012e+06,72.599
2.017e+06,63.248
2.022e+06,53.791
2.027e+06,44.237
2.032e+06,34.601
2.037e+06,24.9
2.042e+06,15.154
2.047e+06,5.3868
2.0521e+06,-4.3789
2.0571e+06,-14.12
2.0621e+06,-23.813
2.0671e+06,-33.44
2.0721e+06,-42.983
2.0771e+06,-52.43
2.0821e+06,-61.773
2.0871e+06,-71.005
2.0921e+06,-80.126
2.0971e+06,-89.137
2.1021e+06,-98.042
2.1071e+06,-106.85
2.1121e+06,-115.56
2.1171e+06,-124.2
2.1221e+06,-132.76
2.1271e+06,-141.26
2.1321e+06,-149.72
2.1371e+06,-158.14
2.1421e+06,-166.54
2.1471e+06,-174.93
2.1522e+06,176.69
2.1572e+06,168.28
2.1622e+06,159.86
2.1672e+06,151.39
2.1722e+06,142.88
2.1772e+06,134.3
2.1822e+06,125.65
2.1872e+06,116.93
2.1922e+06,108.11
2.1972e+06,99.202
2.2022e+06,90.19
2.2072e+06,81.074
2.2122e+06,71.854
2.2172e+06,62.532
2.2222e+06,53.115
2.2272e+06,43.611
2.2322e+06,34.034
2.2372e+06,24.398
2.2422e+06,14.723
2.2472e+06,5.0279
2.2523e+06,-4.6661
2.2573e+06,-14.338
2.2623e+06,-23.969
2.2673e+06,-33.54
2.2723e+06,-43.037
2.2773e+06,-52.448
2.2823e+06,-61.765
2.2873e+06,-70.982
2.2923e+06,-80.099
2.2973e+06,-89.114
2.3023e+06,-98.034
2.3073e+06,-106.86
2.3123e+06,-115.61
2.3173e+06,-124.27
2.3223e+06,-132.88
2.3273e+06,-141.42
2.3323e+06,-149.92
2.3373e+06,-158.39
2.3423e+06,-166.84
2.3473e+06,-175.28
2.3524e+06,176.29
2.3574e+06,167.84
2.3624e+06,159.36
2.3674e+06,150.85
2.3724e+06,142.3
2.3774e+06,133.69
2.3824e+06,125.01
2.3874e+06,116.26
2.3924e+06,107.42
2.3974e+06,98.503
2.4024e+06,89.488
2.4074e+06,80.378
2.4124e+06,71.173
2.4174e+06,61.875
2.4224e+06,52.491
2.4274e+06,43.028
2.4324e+06,33.499
2.4374e+06,23.918
2.4424e+06,14.3
2.4474e+06,4.6647
2.4525e+06,-4.9698
2.4575e+06,-14.585
2.4625e+06,-24.163
2.4675e+06,-33.687
2.4725e+06,-43.145
2.4775e+06,-52.525
2.4825e+06,-61.819
2.4875e+06,-71.023
2.4925e+06,-80.134
2.4975e+06,-89.152
2.5025e+06,-98.082
2.5075e+06,-106.93
2.5125e+06,-115.69
2.5175e+06,-124.39
2.5225e+06,-133.03
2.5275e+06,-141.61
2.5325e+06,-150.15
2.5375e+06,-158.66
2.5425e+06,-167.15
2.5475e+06,-175.63
2.5526e+06,175.9
2.5576e+06,167.4
2.5626e+06,158.89
2.5676e+06,150.34
2.5726e+06,141.75
2.5776e+06,133.11
2.5826e+06,124.41
2.5876e+06,115.64
2.5926e+06,106.79
2.5976e+06,97.856
2.6026e+06,88.839
2.6076e+06,79.734
2.6126e+06,70.541
2.6176e+06,61.264
2.6226e+06,51.907
2.6276e+06,42.479
2.6326e+06,32.99
2.6376e+06,23.453
2.6426e+06,13.884
2.6476e+06,4.2992
2.6527e+06,-5.2853
2.6577e+06,-14.852
2.6627e+06,-24.385
2.6677e+06,-33.87
2.6727e+06,-43.293
2.6777e+06,-52.646
2.6827e+06,-61.92
2.6877e+06,-71.111
2.6927e+06,-80.217
2.6977e+06,-89.237
2.7027e+06,-98.175
2.7077e+06,-107.03
2.7127e+06,-115.82
2.7177e+06,-124.54
2.7227e+06,-133.2
2.7277e+06,-141.82
2.7327e+06,-150.39
2.7377e+06,-158.93
2.7427e+06,-167.46
2.7477e+06,-175.97
2.7528e+06,175.51
2.7578e+06,166.99
2.7628e+06,158.44
2.7678e+06,149.86
2.7728e+06,141.24
2.7778e+06,132.57
2.7828e+06,123.84
2.7878e+06,115.05
2.7928e+06,106.19
2.7978e+06,97.25
2.8028e+06,88.231
2.8078e+06,79.13
2.8128e+06,69.948
2.8178e+06,60.688
2.8228e+06,51.354
2.8278e+06,41.956
2.8328e+06,32.501
2.8378e+06,23.003
2.8428e+06,13.475
2.8478e+06,3.9326
2.8529e+06,-5.6093
2.8579e+06,-15.135
2.8629e+06,-24.629
2.8679e+06,-34.08
2.8729e+06,-43.474
2.8779e+06,-52.803
2.8829e+06,-62.059
2.8879e+06,-71.238
2.8929e+06,-80.339
2.8979e+06,-89.36
2.9029e+06,-98.303
2.9079e+06,-107.17
2.9129e+06,-115.98
2.9179e+06,-124.72
2.9229e+06,-133.4
2.9279e+06,-142.04
2.9329e+06,-150.64
2.9379e+06,-159.22
2.9429e+06,-167.77
2.9479e+06,-176.32
2.953e+06,175.13
2.958e+06,166.58
2.963e+06,158
2.968e+06,149.39
2.973e+06,140.75
2.978e+06,132.05
2.983e+06,123.31
2.988e+06,114.5
2.993e+06,105.62
2.998e+06,96.677
3.003e+06,87.656
3.008e+06,78.559
3.013e+06,69.386
3.018e+06,60.141
3.023e+06,50.827
3.028e+06,41.454
3.033e+06,32.029
3.038e+06,22.564
3.043e+06,13.071
3.048e+06,3.5654
3.0531e+06,-5.9396
3.0581e+06,-15.429
3.0631e+06,-24.891
3.0681e+06,-34.311
3.0731e+06,-43.679
3.0781e+06,-52.987
3.0831e+06,-62.227
3.0881e+06,-71.396
3.0931e+06,-80.491
3.0981e+06,-89.512
3.1031e+06,-98.46
3.1081e+06,-107.34
3.1131e+06,-116.16
3.1181e+06,-124.91
3.1231e+06,-133.62
3.1281e+06,-142.28
3.1331e+06,-150.91
3.1381e+06,-159.51
3.1431e+06,-168.09
3.1481e+06,-176.67
3.1532e+06,174.76
3.1582e+06,166.17
3.1632e+06,157.57
3.1682e+06,148.94
3.1732e+06,140.27
3.1782e+06,131.56
3.1832e+06,122.79
3.1882e+06,113.97
3.1932e+06,105.08
3.1982e+06,96.131
3.2032e+06,87.108
3.2082e+06,78.014
3.2132e+06,68.849
3.2182e+06,59.617
3.2232e+06,50.321
3.2282e+06,40.969
3.2332e+06,31.57
3.2382e+06,22.133
3.2432e+06,12.672
3.2482e+06,3.1981
3.2533e+06,-6.2748
3.2583e+06,-15.733
3.2633e+06,-25.165
3.2683e+06,-34.559
3.2733e+06,-43.905
3.2783e+06,-53.194
3.2833e+06,-62.42
3.2883e+06,-71.579
3.2933e+06,-80.669
3.2983e+06,-89.689
3.3033e+06,-98.642
3.3083e+06,-107.53
3.3133e+06,-116.36
3.3183e+06,-125.13
3.3233e+06,-133.85
3.3283e+06,-142.53
3.3333e+06,-151.18
3.3383e+06,-159.81
3.3433e+06,-168.41
3.3483e+06,-177.01
3.3534e+06,174.39
3.3584e+06,165.78
3.3634e+06,157.15
3.3684e+06,148.5
3.3734e+06,139.81
3.3784e+06,131.08
3.3834e+06,122.3
3.3884e+06,113.46
3.3934e+06,104.57
3.3984e+06,95.607
3.4034e+06,86.583
3.4084e+06,77.491
3.4134e+06,68.333
3.4184e+06,59.112
3.4234e+06,49.832
3.4284e+06,40.499
3.4334e+06,31.122
3.4384e+06,21.711
3.4434e+06,12.277
3.4484e+06,2.831
3.4535e+06,-6.6136
3.4585e+06,-16.045
3.4635e+06,-25.451
3.4685e+06,-34.821
3.4735e+06,-44.146
3.4785e+06,-53.419
