x,y
1.2713e+06,-64.144
1.2763e+06,-68.649
1.2813e+06,-73.153
1.2863e+06,-77.658
1.2913e+06,-82.162
1.2963e+06,-86.667
1.3013e+06,-91.171
1.3063e+06,-95.676
1.3113e+06,-100.18
1.3163e+06,-104.68
1.3213e+06,-109.19
1.3263e+06,-113.69
1.3313e+06,-118.2
1.3363e+06,-122.7
1.3413e+06,-127.21
1.3463e+06,-131.71
1.3514e+06,-136.22
1.3564e+06,-140.72
1.3614e+06,-145.23
1.3664e+06,-149.73
1.3714e+06,-154.23
1.3764e+06,-158.74
1.3814e+06,-163.24
1.3864e+06,-167.75
1.3914e+06,-172.25
1.3964e+06,-176.76
1.4014e+06,-1.2611
1.4064e+06,-5.7657
1.4114e+06,-10.27
1.4164e+06,-14.775
1.4214e+06,-19.279
1.4264e+06,-23.784
1.4314e+06,-28.288
1.4364e+06,-32.793
1.4414e+06,-37.297
1.4464e+06,-41.802
1.4515e+06,-46.306
1.4565e+06,-50.811
1.4615e+06,-55.315
1.4665e+06,-59.82
1.4715e+06,-64.324
1.4765e+06,-68.829
1.4815e+06,-73.333
1.4865e+06,-77.838
1.4915e+06,-82.342
1.4965e+06,-86.847
1.5015e+06,-91.351
1.5065e+06,-95.856
1.5115e+06,-100.36
1.5165e+06,-104.86
1.5215e+06,-109.37
1.5265e+06,-113.87
1.5315e+06,-118.38
1.5365e+06,-122.88
1.5415e+06,-127.39
1.5465e+06,-131.89
1.5516e+06,-136.4
1.5566e+06,-140.9
1.5616e+06,-145.41
1.5666e+06,-149.91
1.5716e+06,-154.41
1.5766e+06,-158.92
1.5816e+06,-163.42
1.5866e+06,-167.93
1.5916e+06,-172.43
1.5966e+06,-176.94
1.6016e+06,-1.4413
1.6066e+06,-5.9459
1.6116e+06,-10.45
1.6166e+06,-14.955
1.6216e+06,-19.459
1.6266e+06,-23.964
1.6316e+06,-28.468
1.6366e+06,-32.973
1.6416e+06,-37.477
1.6466e+06,-41.982
1.6517e+06,-46.486
1.6567e+06,-50.991
1.6617e+06,-55.495
1.6667e+06,-60
1.6717e+06,-64.505
1.6767e+06,-69.009
1.6817e+06,-73.514
1.6867e+06,-78.018
1.6917e+06,-82.523
1.6967e+06,-87.027
1.7017e+06,-91.532
1.7067e+06,-96.036
1.7117e+06,-100.54
1.7167e+06,-105.05
1.7217e+06,-109.55
1.7267e+06,-114.05
1.7317e+06,-118.56
1.7367e+06,-123.06
1.7417e+06,-127.57
1.7467e+06,-132.07
1.7518e+06,-136.58
1.7568e+06,-141.08
1.7618e+06,-145.59
1.7668e+06,-150.09
1.7718e+06,-154.59
1.7768e+06,-159.1
1.7818e+06,-163.6
1.7868e+06,-168.11
1.7918e+06,-172.61
1.7968e+06,-177.12
1.8018e+06,-1.6215
1.8068e+06,-6.1261
1.8118e+06,-10.631
1.8168e+06,-15.135
1.8218e+06,-19.64
1.8268e+06,-24.144
1.8318e+06,-28.649
1.8368e+06,-33.153
1.8418e+06,-37.658
1.8468e+06,-42.162
1.8519e+06,-46.667
1.8569e+06,-51.171
1.8619e+06,-55.676
1.8669e+06,-60.18
1.8719e+06,-64.685
1.8769e+06,-69.189
1.8819e+06,-73.694
1.8869e+06,-78.198
1.8919e+06,-82.703
1.8969e+06,-87.207
1.9019e+06,-91.712
1.9069e+06,-96.216
1.9119e+06,-100.72
1.9169e+06,-105.23
1.9219e+06,-109.73
1.9269e+06,-114.23
1.9319e+06,-118.74
1.9369e+06,-123.24
1.9419e+06,-127.75
1.9469e+06,-132.25
1.952e+06,-136.76
1.957e+06,-141.26
1.962e+06,-145.77
1.967e+06,-150.27
1.972e+06,-154.77
